=== wgrib2 DRT 3 Inspection Output ===
File: test_data/nam_awip12_drt3.grib2
Date: Thu Jul 23 02:15:14 AM EDT 2026

=== Data Representation Template (DRT) Information ===
138:18141336:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
139:18210545:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
140:18314412:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
141:18457220:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
142.1:18692267:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
142.2:18692267:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
143:19071561:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
144:19185068:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
145.1:19286301:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
145.2:19286301:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
146:19700114:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
147:19820121:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
148:19931096:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
149.1:20035966:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
149.2:20035966:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
150:20441824:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
151:20552453:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
152.1:20660851:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
152.2:20660851:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
153:21066074:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
154:21177453:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
155.1:21290899:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
155.2:21290899:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
156:21703826:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
157:21815738:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
158.1:21928306:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
158.2:21928306:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
159:22335550:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
160.1:22450302:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
160.2:22450302:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
161:22857482:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
162:22978162:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
163:23070225:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
164:23150455:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
165:23588608:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
166:23935305:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
167:24019498:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
168:24096027:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
169:24172883:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
170:24254602:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
171:24314059:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
172:24573260:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
173:24575398:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
174:24585090:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
175:24591905:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
176:24724818:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
177:24793768:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
178:24887848:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
179:25134380:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
180:25266178:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
181:25391391:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
182:25507907:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
183:25568012:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
184:25798755:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
185:26071112:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
186:26152913:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3

=== Product Definition Template (PDT) Information ===
1:0:pdt=0
2:240117:pdt=0
3:481603:pdt=0
4:488896:pdt=0
5:514058:pdt=0
6:608925:pdt=0
7:622096:pdt=0
8:742946:pdt=0
9:958064:pdt=0
10:1173114:pdt=0
11:1486527:pdt=0
12:1720967:pdt=0
13.1:2028376:pdt=0
13.2:2028376:pdt=0
14:2438905:pdt=0
15:2651845:pdt=0
16:2740572:pdt=0
17:2896012:pdt=0
18:2937856:pdt=0
19:3103216:pdt=0

=== Sample Verbose Output (First 10 messages) ===
1:0:vt=2025011500:mean sea level:anl:PRMSL Pressure Reduced to MSL [Pa]:
    ndata=262792:undef=0:mean=102024:min=99488.7:max=104148
    grid_template=30:winds(grid):
	Lambert Conformal: (614 x 428) input WE:SN output WE:SN res 56
	Lat1 12.190000 Lon1 226.541000 LoV 265.000000
	LatD 25.000000 Latin1 25.000000 Latin2 25.000000
	LatSP -90.000000 LonSP 0.000000
	North Pole (614 x 428) Dx 12191.000000 m Dy 12191.000000 m 

2:240117:vt=2025011500:1 hybrid level:anl:PRES Pressure [Pa]:
